"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"¡Hola! Que Me Lleva La Ola","(Compilador), SERGIO ANDRICAIN","","","Tapa blanda","","","","","9789504642213","","https://www.goodreads.com/book/show/63270744-hola-que-me-lleva-la-ola","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Infantil","5.00","08/16/2026","","","","","","","","Estante B","3.0.2"
"¡Oh envoltura de la muerte!","Blake, Nicholas; Martín, Elvira","Emecé (Clarín)","2015-12-18","Tapa blanda","312","Nigel Strangeways","","spa","9789500437844","","https://www.goodreads.com/book/show/28247082-oh-envoltura-de-la-muerte","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450561522l/28247082._SY160_.jpg","Nigel Strangeways, el ingenioso detective de ""La bestia debe morir"", visita al casi legendario Fergus O'Brien, as de la aviación en la guerra mundial, inventor de máquinas de combate y lector de Shakespeare. O'Brien ha recibido una serie de cartas anónimas, que lo amenazan de muerte. Dice no tomarlas en serio; pero una noche, en una cabaña rodeada de nieve, ocurre un misterioso asesinato.","","","Mystery","3.78","08/16/2026","","","","","","","","Estante C","270"
"¿Tienes miedo a la oscuridad?","Sidney, Sheldon","","","Tapa blanda","","","","","9789500431248","","","","","","","","","","","08/16/2026","","","","","","","","Estante C","MM/DD/YYYY"
"40 Formas de Oracion Personal","Fernández, Víctor Manuel","San Pablo","","Tapa blanda","94","","","","9789508610249","","https://www.goodreads.com/book/show/6849817-40-formas-de-oracion-personal","","","https://covers.openlibrary.org/b/id/5234335-L.jpg","","","","","4.00","08/16/2026","","","","","","","","Estante A","YYYY-MM-DD"
"A Merced de su Gracia","Louf, André","","","Tapa blanda","","","","","9789871204892","","https://www.goodreads.com/book/show/108949913-a-merced-de-su-gracia","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Favorites","4.41","08/16/2026","","","","","","","","Estante A","08/16/2026"
"Acerca del Ente y de la Esencia - Bilingüe","Author, Unknown","","","Tapa blanda","","","","","9789871204014","","https://www.goodreads.com/book/show/214670983-acerca-del-ente-y-de-la-esencia---biling-e","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","","3.00","08/16/2026","","","","","","","","Estante A",""
"Alicia tras el espejo","Lewis, Carol","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
"Alvaro Siza","Author, Unknown","","","Tapa blanda","","","","","9789870724650","","https://www.goodreads.com/book/show/207935207-alvaro-siza","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Biblioteca","4.00","08/16/2026","","","","","","","","Estante D",""
"Apasionados por el amor, la justicia y la paz","Peña, Gabriela","Editorial Claretiana","2019","Tapa blanda","222","","","","9789877620306","","https://www.goodreads.com/book/show/111287974-apasionados-por-el-amor-la-justicia-y-la-paz-los-martires-riojanos","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Martyrs","0","08/16/2026","","","","","","","","Estante A",""
"Aventuras de Huck Finn","Mark, Twain","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
"Billy Bathgate (Spanish Edition)","Doctorow, E.L.","","","Tapa blanda","","","","","","","https://www.goodreads.com/book/show/65391725-billy-bathgate","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","Open this book and enter through his own words the perilous, thrilling world of Billy Bathgate, the brazen boy who has insinuated himself into the inner circle of the notorious Dutch Schultz gang to become good-luck charm, apprentice and finally protege to one of the great murdering gangsters of his time.

Meet the low-browed gunman Lulu Rosenkrantz; the fastidious Irving, precise in everything he does, from mixing drinks to disposing of dead men; the financial genius Abbadabba Berman, who invents a way to change the day's winning number at the last moment; and of course the kid who was once known to the Bronx as Arthur Flegenheimer, the man now known to the world as Dutch Schultz. 

Like an urban Tom Sawyer in a world of horrors, Billy has come down from the tenement streets of the East Bronx to live in the glamorously evil Depression underworld that Schultz has created. It is a world of storm-tossed tugboat rides through the dark night of New York Harbor as a gang member is about to be ceremonially drowned, his feet in a bucket of setting cement; of Seventh Avenue window washers falling mysteriously from their scaffolds; of three-day parties in West Side brothels and visits to the blue-lit nightclubs that are the beat of Broadway columnists. It is a world of elegant socialites, cunning Tammany ward heelers, mobsters, bankers, lawyers, and men of the cloth. Black Packards cruise the streets and not even infants in their carriages are safe from the bullets of warring gunmen.

In a prose that astonishes with its lyric intensity, Billy makes us intimates of his fateful adventures within the world of Dutch Schultz. As we move with him into ever deeper dimensions of horror and exhilaration, as he offers up his soul ever more recklessly, Billy reveals this world to us as the brutal, eroticized, farcical, and morally startling place that it is.

The luminous transformation of fact into fiction that became E.L. Doctorow's trademark with Ragtime, the eerie evocations of collective dreams that haunted Loon Lake and World's Fair, come to triumphant fruition in Billy Bathgate. Here is Doctorow's masterpiece, combining with stunning force his tremendous powers, illuminating history as myth and transforming the half-understood, hauntingly remembered materials of our culture into brilliant art. The result is one of those rare shocks of recognition that tell us how we have become what we are.

Billy Bathgate, a ""capable boy,"" in the words of Dutch Schultz, will live in the minds of E.L. Doctorow's readers for many years to come, a fixed star in the American universe, as poignant and mysterious as American life itself.","","","Fiction","3.82","08/16/2026","","","","","","","","Estante C",""
"Boya - Un Hogar En El Mar (Spanish Edition)","Balan","","","Tapa blanda","","","","","","","https://www.goodreads.com/book/show/1746566.Boya_Un_Hogar_En_El_Mar","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Childrens-literature","4.38","08/16/2026","","","","","","","","Estante B",""
"Cianuro espumoso (Colonel Race #4)","Christie, Agatha","Booket - Grupo Editorial Planeta, Buenos Aires","2015-07-01","Tapa blanda","216","Colonel Race","4","spa","9789875807471","","https://www.goodreads.com/book/show/28449946-cianuro-espumoso","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451939966l/28449946._SX98_.jpg","En el reservado de un selecto restaurante, seis personas se reúnen alrededor de una mesa preparada para siete comensales. Ante el asiento vacío hay un ramillete de romero en memoria de Rosemary Burton, fallecida en aquel mismo escenario un año atrés después de haber ingerido cianuro disuelto en su copa. En aquel momento todo el mundo pensó que se trataba de un suicidio. Hoy ya no. Ahora existen sospechas fundadas de que en realidad Rosemary fue asesinada. Y lo que en un principio parecía una cena organizada en homenaje a la difunta se va a convertir en otra cosa muy distinta. Una peligrosa conmemoración que puede volver a acabar en tragedia cuando, al alzar la copa para brindar en recuerdo de la fallecida, uno de los comensales se desploma en su silla.","","","Mystery","3.92","08/16/2026","","","","","","","","Estante C",""
"Ciudadela","","","","Tapa blanda","","","","","9789875723269","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
"Corto Maltés: El ángel de la ventana de Oriente / Bajo la bandera del oro (Colección Clarín y Ñ, #4)","Pratt, Hugo","Clarín","2010-02-13","Tapa blanda","80","Corto Maltés: Colección Clarín y Ñ","4","spa","9789870707752","","https://www.goodreads.com/book/show/7619818-corto-malt-s","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374169637l/7619818._SX98_.jpg","","","","Comics","4.03","08/16/2026","","","","","","","","Estante D",""
